player,Minutes_Played,Pos,Rebounds
James Harden,36.8,PG,6.1
Jaden Hardy,14.8,SG,1.9
Ron Harper Jr.,5.3,SF,0.8
Montrezl Harrell,11.9,C,2.8
Gary Harris,24.7,SG,2.0
Joe Harris,20.6,SG,2.2
Kevon Harris,13.4,SG,2.1
Tobias Harris,32.9,PF,5.7
Shaquille Harrison,24.0,SG,4.4
Isaiah Hartenstein,19.8,C,6.5
Udonis Haslem,10.1,C,1.6
Sam Hauser,16.1,PF,2.6
Jaxson Hayes,13.0,C,2.8
Killian Hayes,28.3,PG,2.9
Gordon Hayward,31.5,SF,4.3
Juancho Hernangómez,14.6,PF,2.9
Willy Hernangómez,12.1,C,4.7
Tyler Herro,34.9,SG,5.4
Buddy Hield,31.0,SF,5.0
Haywood Highsmith,17.9,SF,3.5
Malcolm Hill,1.8,SF,0.6
Aaron Holiday,13.4,PG,1.2
Jrue Holiday,32.6,PG,5.1
Richaun Holmes,8.3,C,1.9
Al Horford,30.5,C,6.2
Talen Horton-Tucker,20.2,SG,3.2
Danuel House Jr.,14.4,SF,1.7
Caleb Houstan,15.9,SF,1.9
Trevor Hudgins,5.6,PG,0.0
Kevin Huerter,29.4,SG,3.3
Jay Huff,13.6,C,3.0
De'Andre Hunter,31.7,SF,4.2
Serge Ibaka,11.6,C,2.8
Andre Iguodala,14.1,SF,2.1
Joe Ingles,22.7,SF,2.8
Brandon Ingram,34.2,SF,5.5
Jonathan Isaac,11.3,PF,4.0
Jaden Ivey,31.1,SG,3.9
Frank Jackson,5.0,PG,2.0
Isaiah Jackson,16.5,C,4.5
Jaren Jackson Jr.,28.4,C,6.8
Justin Jackson,4.7,SF,0.7
Quenton Jackson,15.0,PG,0.9
LeBron James,35.5,PF,8.3
Ty Jerome,18.1,SG,1.7
Isaiah Joe,19.1,SG,2.4
Alize Johnson,7.5,PF,2.5
Jalen Johnson,14.9,SF,4.0
James Johnson,9.0,PF,1.7
Keldon Johnson,32.7,SF,5.0
Keon Johnson,10.4,SG,1.1
Stanley Johnson,15.6,SF,3.2
Nikola Joki?,33.7,C,11.8
Carlik Jones,8.0,PG,0.7
Derrick Jones Jr.,14.0,SF,2.4
Herbert Jones,29.6,SF,4.1
Kai Jones,12.0,C,2.7
Tre Jones,29.2,PG,3.6
Tyus Jones,24.3,PG,2.5
DeAndre Jordan,15.0,C,5.2
Cory Joseph,19.8,PG,1.7
Nikola Jovi?,13.6,PF,2.1
Johnny Juzang,12.9,SF,2.2
Mfiondu Kabengele,9.0,PF,2.5
Trevor Keels,2.7,SG,0.7
Walker Kessler,23.0,C,8.4
Braxton Key,3.0,SF,0.3
Louis King,29.0,SF,4.0
Corey Kispert,28.3,SF,2.8
Maxi Kleber,25.1,C,3.6
Nathan Knight,7.7,PF,1.5
Christian Koloko,13.8,C,2.9
John Konchar,20.8,SG,4.3
Furkan Korkmaz,9.5,SG,1.1
Luke Kornet,11.7,C,2.9
